### Present Simple
I ___ (work) as a software engineer for a large tech company | work | Базовая форма для I
She ___ (go) to the university every day except Sunday | goes | Добавьте -s для he/she/it
They ___ (play) tennis at the local club every weekend | play | Базовая форма для they
He ___ (watch) the news every evening to stay informed | watches | Добавьте -es после ch
My brother ___ (study) architecture at the University of London | studies | Измените y на ies
We ___ (live) in a small apartment in the city center | live | Базовая форма для we
The Earth ___ (revolve) around the Sun | revolves | Научный факт - добавьте -s
Sarah ___ (like) classical music and often attends concerts | likes | He/she/it + глагол+s
I ___ (drink) two cups of green tea every morning for my health | drink | Регулярное действие
The express train ___ (leave) from platform 5 at 14:30 | leaves | Расписание - добавьте -s
Water ___ (boil) at 100 degrees Celsius at sea level | boils | Общеизвестный факт
He ___ (teach) physics to undergraduate students | teaches | Добавьте -es после ch
They ___ (speak) fluent French and Italian | speak | Базовая форма для they
This restaurant ___ (serve) the best sushi in town | serves | He/she/it + глагол+s
I ___ (believe) that honesty is the most important policy | believe | Мнение - базовая форма
She ___ (manage) a team of ten people in the marketing department | manages | Добавьте -s
The company ___ (operate) in over twenty countries worldwide | operates | He/she/it + глагол+s
We ___ (own) a small cottage by the lake | own | Базовая форма для we
He ___ (seem) tired lately, perhaps he needs a vacation | seems | He/she/it + глагол+s
I ___ (understand) the basic principles of quantum mechanics | understand | Базовая форма
The museum ___ (open) at 10 AM and ___ (close) at 6 PM | opens, closes | Расписание
They ___ (need) more information before making a decision | need | Базовая форма для they
She ___ (have) a beautiful collection of vintage stamps | has | have → has для he/she/it
My parents ___ (love) traveling to remote places | love | Базовая форма для they
He ___ (think) carefully before answering difficult questions | thinks | He/she/it + глагол+s
This software ___ (help) users to organize their tasks efficiently | helps | He/she/it + глагол+s
I ___ (feel) that something is not quite right about this situation | feel | Базовая форма
The committee ___ (consist) of five elected members | consists | He/she/it + глагол+s
They ___ (want) to pursue higher education abroad | want | Базовая форма для they
She ___ (know) exactly how to handle such complex problems | knows | He/she/it + глагол+s
The new policy ___ (affect) all employees without exception | affects | He/she/it + глагол+s
We ___ (hope) to visit Japan next spring | hope | Базовая форма для we
He ___ (appear) confident during the presentations | appears | He/she/it + глагол+s
I ___ (prefer) coffee over tea in the morning | prefer | Базовая форма
The system ___ (require) a password change every 90 days | requires | He/she/it + глагол+s
They ___ (agree) with the proposed changes to the contract | agree | Базовая форма для they
She ___ (look) for a new job opportunity in biotechnology | looks | He/she/it + глагол+s
This law ___ (protect) the rights of indigenous peoples | protects | He/she/it + глагол+s
We ___ (remember) our first meeting very clearly | remember | Базовая форма для we
He ___ (depend) on public transport to get to work | depends | He/she/it + глагол+s
I ___ (hear) that you are planning a trip to South America | hear | Базовая форма
The project ___ (involve) a significant amount of research | involves | He/she/it + глагол+s
They ___ (produce) high-quality organic vegetables on their farm | produce | Базовая форма
She ___ (realize) the importance of learning from mistakes | realizes | Добавьте -s
This theory ___ (suggest) a completely new approach to the problem | suggests | He/she/it + глагол+s
We ___ (support) local charities whenever possible | support | Базовая форма для we
He ___ (create) stunning digital artwork using a tablet | creates | He/she/it + глагол+s
I ___ (recognize) the need for immediate action | recognize | Базовая форма
The data ___ (indicate) a steady growth in the market | indicates | He/she/it + глагол+s
